expected,prompt
trigger,"Cập nhật tất cả skill GitHub trong Codex của mình"
trigger,"Sync my GitHub-backed Codex skills"
trigger,"Clone source repos for my installed Codex skills"
trigger,"Migrate the old skills I installed with $skill-installer"
trigger,"Codex không nhận skill vừa cài từ GitHub"
trigger,"Check whether my Codex skills have updates"
trigger,"Audit all SKILL.md files under my user skills"
trigger,"Repair provenance for my GitHub skills"
trigger,"Quét các skill GitHub và clone những repo nguồn còn thiếu"
trigger,"Skill legacy này báo source-unknown, đăng ký repo nguồn cho nó"
trigger,"Tại sao skill GitHub của mình không được manager nhận diện?"
trigger,"Dry-run các bản cập nhật skill rồi update nếu an toàn"
trigger,"Skill này được cài từ repo nào?"
trigger,"Kiểm tra sức khỏe toàn bộ Agent Skills."
no_trigger,"Update Codex CLI"
no_trigger,"Update VS Code."
no_trigger,"Fix React app."
no_trigger,"Upgrade GitHub CLI."
no_trigger,"Update Docker image."
no_trigger,"Upgrade all npm packages"
no_trigger,"Pull the latest changes in this repository"
no_trigger,"Install an MCP server"
no_trigger,"Update my Codex plugins"
no_trigger,"Clone this normal GitHub repository"
no_trigger,"Update my Python dependencies"
no_trigger,"Audit this application repository for security issues"
no_trigger,"Why doesn't Git see my remote branch?"
no_trigger,"Install a VS Code extension from GitHub"
